ENSGMOP00000007174	ENSP00000309415
ENSGMOP00000012034	ENSP00000361900
ENSGMOP00000008085	ENSP00000295834
ENSGMOP00000008084	ENSP00000318697
ENSGMOP00000001913	ENSP00000251453
ENSGMOP00000010032	ENSP00000416255
ENSGMOP00000021984	ENSP00000327431
ENSGMOP00000010037	ENSP00000252603
ENSGMOP00000000509	ENSP00000240185
ENSGMOP00000006968	ENSP00000362576
ENSGMOP00000014366	ENSP00000477590
ENSGMOP00000008089	ENSP00000244763
ENSGMOP00000008857	ENSP00000317379
ENSGMOP00000004666	ENSP00000386717
ENSGMOP00000004706	ENSP00000313869
ENSGMOP00000001919	ENSP00000483300
ENSGMOP00000004899	ENSP00000234071
ENSGMOP00000003545	ENSP00000367727
ENSGMOP00000003012	ENSP00000273047
ENSGMOP00000003468	ENSP00000221138
ENSGMOP00000013859	ENSP00000316357
ENSGMOP00000012915	ENSP00000262646
ENSGMOP00000003465	ENSP00000366679
ENSGMOP00000001666	ENSP00000376276
ENSGMOP00000016144	ENSP00000355777
ENSGMOP00000001349	ENSP00000249923
ENSGMOP00000003089	ENSP00000269141
ENSGMOP00000021136	ENSP00000254090
ENSGMOP00000021132	ENSP00000342026
ENSGMOP00000019232	ENSP00000280557
ENSGMOP00000014448	ENSP00000262812
ENSGMOP00000020564	ENSP00000387050
ENSGMOP00000001343	ENSP00000296511
ENSGMOP00000003128	ENSP00000310431
ENSGMOP00000008250	ENSP00000265062
ENSGMOP00000017469	ENSP00000309515
ENSGMOP00000008253	ENSP00000388169
ENSGMOP00000011600	ENSP00000294742
ENSGMOP00000003494	ENSP00000256383
ENSGMOP00000018220	ENSP00000361057
ENSGMOP00000003498	ENSP00000362688
ENSGMOP00000014211	ENSP00000362413
ENSGMOP00000000845	ENSP00000278572
ENSGMOP00000012595	ENSP00000412724
ENSGMOP00000013106	ENSP00000361930
ENSGMOP00000012983	ENSP00000431984
ENSGMOP00000015003	ENSP00000369461
ENSGMOP00000004420	ENSP00000261890
ENSGMOP00000013517	ENSP00000380837
ENSGMOP00000007415	ENSP00000304669
ENSGMOP00000004974	ENSP00000264908
ENSGMOP00000002880	ENSP00000319531
ENSGMOP00000005543	ENSP00000416066
ENSGMOP00000012357	ENSP00000403172
ENSGMOP00000022051	ENSP00000298316
ENSGMOP00000016730	ENSP00000249750
ENSGMOP00000004832	ENSP00000351926
ENSGMOP00000004833	ENSP00000328938
ENSGMOP00000015060	ENSP00000438689
ENSGMOP00000015062	ENSP00000355124
ENSGMOP00000015067	ENSP00000387164
ENSGMOP00000006691	ENSP00000360938
ENSGMOP00000008409	ENSP00000396937
ENSGMOP00000015818	ENSP00000480004
ENSGMOP00000001505	ENSP00000406430
ENSGMOP00000000280	ENSP00000274606
ENSGMOP00000008405	ENSP00000292807
ENSGMOP00000004884	ENSP00000406674
ENSGMOP00000000541	ENSP00000351682
ENSGMOP00000010732	ENSP00000377833
ENSGMOP00000000110	ENSP00000308541
ENSGMOP00000009133	ENSP00000265023
ENSGMOP00000006664	ENSP00000327145
ENSGMOP00000020446	ENSP00000217246
ENSGMOP00000016891	ENSP00000301729
ENSGMOP00000010636	ENSP00000375836
ENSGMOP00000016893	ENSP00000450040
ENSGMOP00000010920	ENSP00000374274
ENSGMOP00000009291	ENSP00000361502
ENSGMOP00000019695	ENSP00000366998
ENSGMOP00000015198	ENSP00000479488
ENSGMOP00000012778	ENSP00000256103
ENSGMOP00000010977	ENSP00000290765
ENSGMOP00000016973	ENSP00000369586
ENSGMOP00000016868	ENSP00000365116
ENSGMOP00000008626	ENSP00000258091
ENSGMOP00000006111	ENSP00000211122
ENSGMOP00000011257	ENSP00000302620
ENSGMOP00000015610	ENSP00000301587
ENSGMOP00000008740	ENSP00000326305
ENSGMOP00000014746	ENSP00000339095
ENSGMOP00000020929	ENSP00000230050
ENSGMOP00000010958	ENSP00000466010
ENSGMOP00000020380	ENSP00000347872
ENSGMOP00000009347	ENSP00000361777
ENSGMOP00000020845	ENSP00000355880
ENSGMOP00000020430	ENSP00000362744
ENSGMOP00000006069	ENSP00000338348
ENSGMOP00000015662	ENSP00000313432
ENSGMOP00000010955	ENSP00000456436
ENSGMOP00000010811	ENSP00000348565
ENSGMOP00000013217	ENSP00000321266
ENSGMOP00000010817	ENSP00000317721
ENSGMOP00000010197	ENSP00000306099
ENSGMOP00000009725	ENSP00000449428
ENSGMOP00000010814	ENSP00000381206
ENSGMOP00000019266	ENSP00000341625
ENSGMOP00000008404	ENSP00000358723
ENSGMOP00000019264	ENSP00000260228
ENSGMOP00000021004	ENSP00000340305
ENSGMOP00000017008	ENSP00000343674
ENSGMOP00000006977	ENSP00000359991
ENSGMOP00000012074	ENSP00000378408
ENSGMOP00000002192	ENSP00000216218
ENSGMOP00000010396	ENSP00000378669
ENSGMOP00000010251	ENSP00000264932
ENSGMOP00000007343	ENSP00000320324
ENSGMOP00000015446	ENSP00000345344
ENSGMOP00000006237	ENSP00000318646
ENSGMOP00000000548	ENSP00000367263
ENSGMOP00000007881	ENSP00000425809
ENSGMOP00000000098	ENSP00000274507
ENSGMOP00000007311	ENSP00000353741
ENSGMOP00000019289	ENSP00000002125
ENSGMOP00000019324	ENSP00000416429
ENSGMOP00000007223	ENSP00000349168
ENSGMOP00000007224	ENSP00000385385
ENSGMOP00000017637	ENSP00000264663
ENSGMOP00000009341	ENSP00000485663
ENSGMOP00000018360	ENSP00000282903
ENSGMOP00000019608	ENSP00000216802
ENSGMOP00000020658	ENSP00000300289
ENSGMOP00000017521	ENSP00000271308
ENSGMOP00000009594	ENSP00000359991
ENSGMOP00000017130	ENSP00000450436
ENSGMOP00000017132	ENSP00000266041
ENSGMOP00000014624	ENSP00000354947
ENSGMOP00000014625	ENSP00000265462
ENSGMOP00000021254	ENSP00000364802
ENSGMOP00000018565	ENSP00000335261
ENSGMOP00000014662	ENSP00000475750
ENSGMOP00000009952	ENSP00000261479
ENSGMOP00000009816	ENSP00000464813
ENSGMOP00000010226	ENSP00000265753
ENSGMOP00000007538	ENSP00000455897
ENSGMOP00000015434	ENSP00000449404
ENSGMOP00000003694	ENSP00000377814
ENSGMOP00000003693	ENSP00000379838
ENSGMOP00000014056	ENSP00000331897
ENSGMOP00000016697	ENSP00000362115
ENSGMOP00000014001	ENSP00000369129
ENSGMOP00000016694	ENSP00000220764
ENSGMOP00000016952	ENSP00000298248
ENSGMOP00000016690	ENSP00000363641
ENSGMOP00000014558	ENSP00000262306
ENSGMOP00000002581	ENSP00000338844
ENSGMOP00000002586	ENSP00000416561
ENSGMOP00000016928	ENSP00000326219
ENSGMOP00000000245	ENSP00000403701
ENSGMOP00000007128	ENSP00000285930
ENSGMOP00000019047	ENSP00000228740
ENSGMOP00000017732	ENSP00000430269
ENSGMOP00000002343	ENSP00000410833
ENSGMOP00000002344	ENSP00000381216
ENSGMOP00000020069	ENSP00000319814
ENSGMOP00000008212	ENSP00000221801
ENSGMOP00000010652	ENSP00000307705
ENSGMOP00000005118	ENSP00000217426
ENSGMOP00000005052	ENSP00000234677
ENSGMOP00000001414	ENSP00000448059
ENSGMOP00000000808	ENSP00000346032
ENSGMOP00000016583	ENSP00000367453
ENSGMOP00000020102	ENSP00000342502
ENSGMOP00000008926	ENSP00000268097
ENSGMOP00000016587	ENSP00000360034
ENSGMOP00000003023	ENSP00000300291
ENSGMOP00000015897	ENSP00000363988
ENSGMOP00000012414	ENSP00000290158
ENSGMOP00000001538	ENSP00000394316
ENSGMOP00000012416	ENSP00000261313
ENSGMOP00000008274	ENSP00000266736
ENSGMOP00000003437	ENSP00000370737
ENSGMOP00000013937	ENSP00000362123
ENSGMOP00000016073	ENSP00000263593
ENSGMOP00000010170	ENSP00000265333
ENSGMOP00000012827	ENSP00000363676
ENSGMOP00000007560	ENSP00000477781
ENSGMOP00000001289	ENSP00000216392
ENSGMOP00000005501	ENSP00000346015
ENSGMOP00000004059	ENSP00000364035
ENSGMOP00000000896	ENSP00000472546
ENSGMOP00000000321	ENSP00000369965
ENSGMOP00000008285	ENSP00000373073
ENSGMOP00000014757	ENSP00000357633
ENSGMOP00000008283	ENSP00000263867
ENSGMOP00000011679	ENSP00000373860
ENSGMOP00000013310	ENSP00000354394
ENSGMOP00000008364	ENSP00000306866
ENSGMOP00000013317	ENSP00000481029
ENSGMOP00000011676	ENSP00000314733
ENSGMOP00000007017	ENSP00000413507
ENSGMOP00000013894	ENSP00000483688
ENSGMOP00000001236	ENSP00000265605
ENSGMOP00000020279	ENSP00000216038
ENSGMOP00000004695	ENSP00000361930
ENSGMOP00000006626	ENSP00000408526
ENSGMOP00000012517	ENSP00000355518
ENSGMOP00000004792	ENSP00000254193
ENSGMOP00000008882	ENSP00000232607
ENSGMOP00000007547	ENSP00000363603
ENSGMOP00000000932	ENSP00000350757
ENSGMOP00000013570	ENSP00000266718
ENSGMOP00000018983	ENSP00000293217
ENSGMOP00000000937	ENSP00000258145
ENSGMOP00000019952	ENSP00000380948
ENSGMOP00000013395	ENSP00000376056
ENSGMOP00000005577	ENSP00000336721
ENSGMOP00000000400	ENSP00000255030
ENSGMOP00000012730	ENSP00000360569
ENSGMOP00000011534	ENSP00000481314
ENSGMOP00000006393	ENSP00000336693
ENSGMOP00000005457	ENSP00000270625
ENSGMOP00000020873	ENSP00000375863
ENSGMOP00000011517	ENSP00000225792
ENSGMOP00000008666	ENSP00000313391
ENSGMOP00000001753	ENSP00000341524
ENSGMOP00000005804	ENSP00000339795
ENSGMOP00000011105	ENSP00000411825
ENSGMOP00000005975	ENSP00000302961
ENSGMOP00000006301	ENSP00000246533
ENSGMOP00000011175	ENSP00000362817
ENSGMOP00000020777	ENSP00000415769
ENSGMOP00000019240	ENSP00000429374
ENSGMOP00000010915	ENSP00000296412
ENSGMOP00000009002	ENSP00000255189
ENSGMOP00000009003	ENSP00000440945
ENSGMOP00000010762	ENSP00000299198
ENSGMOP00000009008	ENSP00000481878
ENSGMOP00000015808	ENSP00000227524
ENSGMOP00000009910	ENSP00000346032
ENSGMOP00000009911	ENSP00000376886
ENSGMOP00000016658	ENSP00000422392
ENSGMOP00000001595	ENSP00000358909
ENSGMOP00000010214	ENSP00000306361
ENSGMOP00000005655	ENSP00000308405
ENSGMOP00000009386	ENSP00000370589
ENSGMOP00000011205	ENSP00000435777
ENSGMOP00000015378	ENSP00000237530
ENSGMOP00000009788	ENSP00000418695
ENSGMOP00000014770	ENSP00000233379
ENSGMOP00000002637	ENSP00000468312
ENSGMOP00000014776	ENSP00000252486
ENSGMOP00000017454	ENSP00000290299
ENSGMOP00000002633	ENSP00000273398
ENSGMOP00000006154	ENSP00000463559
ENSGMOP00000019889	ENSP00000309092
ENSGMOP00000020051	ENSP00000322419
ENSGMOP00000019496	ENSP00000360939
ENSGMOP00000015651	ENSP00000379512
ENSGMOP00000011292	ENSP00000217515
ENSGMOP00000010823	ENSP00000262030
ENSGMOP00000008781	ENSP00000333837
ENSGMOP00000006159	ENSP00000267814
ENSGMOP00000002820	ENSP00000448785
ENSGMOP00000013371	ENSP00000345230
ENSGMOP00000002587	ENSP00000324173
ENSGMOP00000020698	ENSP00000364935
ENSGMOP00000013321	ENSP00000262193
ENSGMOP00000007872	ENSP00000342056
ENSGMOP00000012237	ENSP00000336799
ENSGMOP00000020691	ENSP00000164139
ENSGMOP00000020694	ENSP00000261712
ENSGMOP00000004271	ENSP00000386894
ENSGMOP00000005855	ENSP00000405573
ENSGMOP00000002336	ENSP00000262288
ENSGMOP00000011991	ENSP00000389351
ENSGMOP00000011859	ENSP00000357429
ENSGMOP00000000312	ENSP00000369050
ENSGMOP00000006883	ENSP00000366109
ENSGMOP00000007272	ENSP00000351022
ENSGMOP00000006216	ENSP00000239940
ENSGMOP00000019372	ENSP00000467024
ENSGMOP00000007276	ENSP00000233242
ENSGMOP00000017046	ENSP00000394863
ENSGMOP00000019735	ENSP00000222214
ENSGMOP00000002317	ENSP00000428085
ENSGMOP00000009435	ENSP00000277903
ENSGMOP00000010185	ENSP00000396688
ENSGMOP00000012727	ENSP00000216330
ENSGMOP00000003895	ENSP00000364794
ENSGMOP00000002222	ENSP00000460348
ENSGMOP00000000500	ENSP00000262613
ENSGMOP00000007282	ENSP00000361287
ENSGMOP00000000050	ENSP00000242285
ENSGMOP00000021227	ENSP00000320401
ENSGMOP00000014174	ENSP00000316029
ENSGMOP00000014175	ENSP00000359151
ENSGMOP00000009549	ENSP00000451752
ENSGMOP00000000055	ENSP00000210444
ENSGMOP00000000113	ENSP00000481646
ENSGMOP00000009865	ENSP00000379845
ENSGMOP00000016314	ENSP00000354826
ENSGMOP00000014999	ENSP00000435096
ENSGMOP00000009860	ENSP00000263038
ENSGMOP00000000115	ENSP00000449404
ENSGMOP00000009863	ENSP00000263278
ENSGMOP00000012128	ENSP00000291568
ENSGMOP00000005251	ENSP00000446828
ENSGMOP00000005399	ENSP00000304229
ENSGMOP00000004817	ENSP00000219313
ENSGMOP00000010004	ENSP00000377446
ENSGMOP00000015826	ENSP00000291670
ENSGMOP00000004658	ENSP00000085068
ENSGMOP00000006043	ENSP00000241052
ENSGMOP00000015508	ENSP00000461324
ENSGMOP00000004657	ENSP00000295688
ENSGMOP00000002551	ENSP00000256496
ENSGMOP00000016951	ENSP00000266560
ENSGMOP00000017810	ENSP00000381386
ENSGMOP00000016953	ENSP00000283027
ENSGMOP00000017957	ENSP00000293362
ENSGMOP00000016429	ENSP00000438115
ENSGMOP00000000275	ENSP00000225174
ENSGMOP00000001671	ENSP00000446252
ENSGMOP00000004141	ENSP00000479461
ENSGMOP00000012512	ENSP00000215727
ENSGMOP00000014292	ENSP00000263277
ENSGMOP00000001901	ENSP00000369042
ENSGMOP00000015697	ENSP00000269848
ENSGMOP00000019175	ENSP00000325136
ENSGMOP00000001626	ENSP00000274024
ENSGMOP00000003152	ENSP00000311121
ENSGMOP00000021647	ENSP00000477527
ENSGMOP00000019171	ENSP00000369519
ENSGMOP00000016222	ENSP00000339001
ENSGMOP00000017676	ENSP00000333667
ENSGMOP00000016552	ENSP00000229239
ENSGMOP00000016221	ENSP00000413575
ENSGMOP00000008328	ENSP00000337915
ENSGMOP00000008247	ENSP00000369816
ENSGMOP00000001973	ENSP00000419117
ENSGMOP00000007287	ENSP00000386651
ENSGMOP00000012728	ENSP00000359680
ENSGMOP00000008324	ENSP00000337915
ENSGMOP00000004873	ENSP00000370419
ENSGMOP00000013117	ENSP00000349687
ENSGMOP00000014221	ENSP00000217971
ENSGMOP00000013447	ENSP00000233710
ENSGMOP00000009551	ENSP00000258424
ENSGMOP00000013449	ENSP00000359380
ENSGMOP00000000974	ENSP00000407726
ENSGMOP00000019854	ENSP00000375733
ENSGMOP00000014229	ENSP00000336687
ENSGMOP00000013292	ENSP00000296412
ENSGMOP00000013118	ENSP00000350199
ENSGMOP00000012344	ENSP00000341885
